"Year","Total_Rainfall","Total_Runoff","Relative_humidity"
1960,1185.37,250.376,76.1194535519126
1961,1249.55,253.822,75.6370684931507
1962,1502.03,527.95,74.3538356164384
1963,1451.1,702.63,73.7579726027397
1964,1223.75,360.296,77.2640710382514
1965,1089.59,181.72,73.4066301369863
1966,1033,236.494,71.0701917808219
1967,1212.58,200.289,74.1869863013699
1968,1076.46,149.452,73.0472950819672
1969,1396.73,548.611,74.4803287671233
1970,1424.08,458.506,75.3481095890411
1971,1175.48,296.737,73.0044383561644
1972,1250.43,295.165,76.0369398907104
1973,960.69,237.513,73.9593424657534
1974,1244.49,235.05,75.6386301369863
1975,1628.27,651.325,76.5044931506849
1976,936.32,198.187,72.0028415300546
1977,1484.57,456.482,75.6672876712329
1978,678.38,93.912,71.0188767123288
1979,1314.64,232.406,72.7378904109589
1980,1228.18,716.473,74.2190710382514
1981,1429.12,333.752,73.0978356164384
1982,1319.71,489.392,75.0249315068493
1983,1380.82,531.83,74.0949863013699
1984,1332.57,414.219,75.8029508196721
1985,1241.6,328.824,77.8056164383562
1986,1129.12,322.152,72.6987671232877
1987,1688.46,744.508,75.8088493150685
1988,1003.55,239.705,71.1632240437158
1989,1446.16,468.961,76.5949863013699
1990,1124.35,321.416,75.8798904109589
1991,1843.41,1059.112,75.8144109589041
1992,1108.51,214.976,72.9370218579235
1993,1441.43,488.342,74.8814794520548
1994,970.06,197.702,73.0942739726027
1995,806.26,72.116,69.7857534246575
1996,1654.35,495.574,72.8530327868853
1997,1091.55,196.787,71.994602739726
1998,1317.95,464.863,75.3195890410959
1999,1422.95,524.647,74.9095068493151
2000,1192.02,186.31,73.5015573770492
2001,913.91,143.86,71.7937534246575
2002,1276.47,297.187,74.7212876712329
2003,1525.33,603.777,76.0716712328767
2004,839.79,114.011,68.6591803278689
2005,1146.39,90.292,69.7150410958904
2006,1089.61,116.659,72.8747397260274
2007,1128.79,163.663,72.9688767123288
2008,1118.16,138.235,71.0939617486339
2009,1156.74,129.581,71.7682465753425
2010,1117.49,144.09,70.1442465753425
2011,1069.98,273.368,67.288904109589
2012,1028.4,108.693,68.0727595628415
2013,1123.82,203.262,69.6699178082192
2014,1286.83,205.085,73.7548767123288
2015,1349.83,463.057,74.8320821917808
2016,1874.47,840.932,74.9627595628415
2017,1256.12,456.782,71.7021643835616
2018,1226.32,200.665,75.2894246575342
2019,669.37,72.713,71.1392328767123
2020,1377.56,384.015,74.4237158469945
2021,1036.18,126.151,72.5936164383562
2022,848.56,51.472,69.7684657534247
2023,1233.19,127.359,71.1644657534247
2024,1087.14,204.731,74.3958759124088
